location_name,level,cause_group,cause_name,pct_s,pct_ms,pct_m,prop_s
Americas,2,Neoplasms,Neoplasms,0.0001,0.0024,0.0023,0.0357
Americas,2,Neurological disorders,Neurological disorders,0.0016,0.028,0.0264,0.0567
Americas,2,Nutritional deficiencies,Nutritional deficiencies,0.0,0.0001,0.0001,0.0
Americas,2,Other infectious diseases,Other infectious diseases,0.0,0.0001,0.0001,0.0003
Americas,2,Other non-communicable diseases,Other non-communicable diseases,0.0,0.0054,0.0054,0.0024
Americas,2,Respiratory infections and tuberculosis,Respiratory infections and tuberculosis,0.0003,0.0067,0.0065,0.0387
Americas,2,Sense organ diseases,Sense organ diseases,0.0,0.0112,0.0112,0.0
Americas,2,Skin and subcutaneous diseases,Skin and subcutaneous diseases,0.001,0.0064,0.0054,0.1539
Americas,2,Substance use disorders,Substance use disorders,0.0045,0.0103,0.0058,0.4393
Eastern Mediterranean,2,Cardiovascular diseases,Cardiovascular diseases,0.0006,0.0062,0.0055,0.0994
Eastern Mediterranean,2,Chronic respiratory diseases,Chronic respiratory diseases,0.0,0.004,0.004,0.0
Eastern Mediterranean,2,Diabetes and kidney diseases,Diabetes and kidney diseases,0.0005,0.0019,0.0014,0.2575
Eastern Mediterranean,2,Digestive diseases,Digestive diseases,0.0,0.0011,0.0011,0.0
Eastern Mediterranean,2,Enteric infections,Enteric infections,0.0,0.0,0.0,0.0
Eastern Mediterranean,2,HIV/AIDS and sexually transmitted infections,HIV/AIDS and sexually transmitted infections,0.0001,0.0002,0.0002,0.2224
Eastern Mediterranean,2,Maternal and neonatal disorders,Maternal and neonatal disorders,0.0018,0.0062,0.0044,0.2935
Eastern Mediterranean,2,Mental disorders,Mental disorders,0.0066,0.0356,0.029,0.1856
Eastern Mediterranean,2,Musculoskeletal disorders,Musculoskeletal disorders,0.0032,0.0372,0.034,0.0853
Eastern Mediterranean,2,Neglected tropical diseases and malaria,Neglected tropical diseases and malaria,0.0,0.0004,0.0004,0.0237
Eastern Mediterranean,2,Neoplasms,Neoplasms,0.0,0.0006,0.0006,0.0557
Eastern Mediterranean,2,Neurological disorders,Neurological disorders,0.0014,0.0221,0.0208,0.0614
Eastern Mediterranean,2,Nutritional deficiencies,Nutritional deficiencies,0.0,0.0006,0.0006,0.0
Eastern Mediterranean,2,Other infectious diseases,Other infectious diseases,0.0,0.0004,0.0004,0.0335
Eastern Mediterranean,2,Other non-communicable diseases,Other non-communicable diseases,0.0,0.0088,0.0088,0.0027
Eastern Mediterranean,2,Respiratory infections and tuberculosis,Respiratory infections and tuberculosis,0.0003,0.0085,0.0082,0.0339
Eastern Mediterranean,2,Sense organ diseases,Sense organ diseases,0.0,0.012,0.012,0.0
Eastern Mediterranean,2,Skin and subcutaneous diseases,Skin and subcutaneous diseases,0.0005,0.0052,0.0047,0.0942
Eastern Mediterranean,2,Substance use disorders,Substance use disorders,0.0012,0.0027,0.0015,0.452
Europe,2,Cardiovascular diseases,Cardiovascular diseases,0.0013,0.0189,0.0176,0.0698
Europe,2,Chronic respiratory diseases,Chronic respiratory diseases,0.0,0.0062,0.0062,0.0001
Europe,2,Diabetes and kidney diseases,Diabetes and kidney diseases,0.0009,0.0031,0.0022,0.3018
Europe,2,Digestive diseases,Digestive diseases,0.0,0.0023,0.0023,0.0
Europe,2,Enteric infections,Enteric infections,0.0,0.0,0.0,0.0
Europe,2,HIV/AIDS and sexually transmitted infections,HIV/AIDS and sexually transmitted infections,0.0001,0.0003,0.0002,0.2294
Europe,2,Maternal and neonatal disorders,Maternal and neonatal disorders,0.0013,0.0037,0.0025,0.3378
Europe,2,Mental disorders,Mental disorders,0.0069,0.0377,0.0307,0.1843
Europe,2,Musculoskeletal disorders,Musculoskeletal disorders,0.0034,0.0654,0.062,0.0516
Europe,2,Neglected tropical diseases and malaria,Neglected tropical diseases and malaria,0.0,0.0005,0.0005,0.0
Europe,2,Neoplasms,Neoplasms,0.0001,0.0031,0.003,0.0378
Europe,2,Neurological disorders,Neurological disorders,0.0013,0.0336,0.0323,0.0379
Europe,2,Nutritional deficiencies,Nutritional deficiencies,0.0,0.0001,0.0001,0.0
Europe,2,Other infectious diseases,Other infectious diseases,0.0,0.0001,0.0001,0.0014
Europe,2,Other non-communicable diseases,Other non-communicable diseases,0.0,0.0084,0.0084,0.0016
Europe,2,Respiratory infections and tuberculosis,Respiratory infections and tuberculosis,0.0003,0.0074,0.0071,0.0394
Europe,2,Sense organ diseases,Sense organ diseases,0.0,0.0122,0.0122,0.0
Europe,2,Skin and subcutaneous diseases,Skin and subcutaneous diseases,0.0012,0.007,0.0058,0.1732
Europe,2,Substance use disorders,Substance use disorders,0.0025,0.0061,0.0037,0.4014
South-East Asia,2,Cardiovascular diseases,Cardiovascular diseases,0.0008,0.0071,0.0063,0.1135
South-East Asia,2,Chronic respiratory diseases,Chronic respiratory diseases,0.0,0.008,0.008,0.0
South-East Asia,2,Diabetes and kidney diseases,Diabetes and kidney diseases,0.001,0.0031,0.0021,0.3197
South-East Asia,2,Digestive diseases,Digestive diseases,0.0,0.0013,0.0013,0.0
South-East Asia,2,Enteric infections,Enteric infections,0.0,0.0,0.0,0.0
South-East Asia,2,HIV/AIDS and sexually transmitted infections,HIV/AIDS and sexually transmitted infections,0.0,0.0003,0.0002,0.1079
South-East Asia,2,Maternal and neonatal disorders,Maternal and neonatal disorders,0.0018,0.0093,0.0075,0.1936
South-East Asia,2,Mental disorders,Mental disorders,0.0067,0.0314,0.0247,0.2139
South-East Asia,2,Musculoskeletal disorders,Musculoskeletal disorders,0.0059,0.0427,0.0368,0.1384
South-East Asia,2,Neglected tropical diseases and malaria,Neglected tropical diseases and malaria,0.0,0.0012,0.0012,0.0028
South-East Asia,2,Neoplasms,Neoplasms,0.0,0.0006,0.0005,0.0665
South-East Asia,2,Neurological disorders,Neurological disorders,0.0011,0.0219,0.0208,0.0514
South-East Asia,2,Nutritional deficiencies,Nutritional deficiencies,0.0,0.0004,0.0004,0.0
South-East Asia,2,Other infectious diseases,Other infectious diseases,0.0001,0.0006,0.0005,0.1651
South-East Asia,2,Other non-communicable diseases,Other non-communicable diseases,0.0,0.0061,0.006,0.0022
South-East Asia,2,Respiratory infections and tuberculosis,Respiratory infections and tuberculosis,0.0003,0.0116,0.0113,0.0287
South-East Asia,2,Sense organ diseases,Sense organ diseases,0.0,0.0153,0.0153,0.0
South-East Asia,2,Skin and subcutaneous diseases,Skin and subcutaneous diseases,0.0005,0.005,0.0045,0.1014
South-East Asia,2,Substance use disorders,Substance use disorders,0.001,0.0025,0.0015,0.3946
Western Pacific,2,Cardiovascular diseases,Cardiovascular diseases,0.0016,0.0139,0.0122,0.1166
Western Pacific,2,Chronic respiratory diseases,Chronic respiratory diseases,0.0,0.0082,0.0082,0.0001
Western Pacific,2,Diabetes and kidney diseases,Diabetes and kidney diseases,0.0011,0.0026,0.0016,0.4094
Western Pacific,2,Digestive diseases,Digestive diseases,0.0,0.0008,0.0008,0.0
Western Pacific,2,Enteric infections,Enteric infections,0.0,0.0,0.0,0.0
Western Pacific,2,HIV/AIDS and sexually transmitted infections,HIV/AIDS and sexually transmitted infections,0.0,0.0002,0.0001,0.2416
Western Pacific,2,Maternal and neonatal disorders,Maternal and neonatal disorders,0.0011,0.0033,0.0022,0.335
Western Pacific,2,Mental disorders,Mental disorders,0.0057,0.024,0.0183,0.2363
Western Pacific,2,Musculoskeletal disorders,Musculoskeletal disorders,0.005,0.0516,0.0466,0.0965
Western Pacific,2,Neglected tropical diseases and malaria,Neglected tropical diseases and malaria,0.0,0.0013,0.0013,0.0003
Western Pacific,2,Neoplasms,Neoplasms,0.0001,0.0021,0.002,0.0412
Western Pacific,2,Neurological disorders,Neurological disorders,0.0008,0.0251,0.0244,0.0305
Western Pacific,2,Nutritional deficiencies,Nutritional deficiencies,0.0,0.0001,0.0001,0.0
Western Pacific,2,Other infectious diseases,Other infectious diseases,0.0,0.0002,0.0002,0.0009
Western Pacific,2,Other non-communicable diseases,Other non-communicable diseases,0.0,0.0047,0.0047,0.0014
Western Pacific,2,Respiratory infections and tuberculosis,Respiratory infections and tuberculosis,0.0,0.0017,0.0017,0.0128
Western Pacific,2,Sense organ diseases,Sense organ diseases,0.0,0.0137,0.0137,0.0
Western Pacific,2,Skin and subcutaneous diseases,Skin and subcutaneous diseases,0.0007,0.0053,0.0046,0.1291
Western Pacific,2,Substance use disorders,Substance use disorders,0.0011,0.0033,0.0022,0.3472
World,2,Cardiovascular diseases,Cardiovascular diseases,0.0012,0.0127,0.0115,0.0932
World,2,Chronic respiratory diseases,Chronic respiratory diseases,0.0,0.0072,0.0072,0.0001
World,2,Diabetes and kidney diseases,Diabetes and kidney diseases,0.0009,0.0029,0.0019,0.3285
World,2,Digestive diseases,Digestive diseases,0.0,0.0014,0.0014,0.0
World,2,Enteric infections,Enteric infections,0.0,0.0,0.0,0.0
World,2,HIV/AIDS and sexually transmitted infections,HIV/AIDS and sexually transmitted infections,0.0007,0.0027,0.002,0.2484
World,2,Maternal and neonatal disorders,Maternal and neonatal disorders,0.0015,0.0066,0.0051,0.2324
World,2,Mental disorders,Mental disorders,0.0065,0.0331,0.0266,0.1954
World,2,Musculoskeletal disorders,Musculoskeletal disorders,0.0054,0.0511,0.0457,0.1055
World,2,Neglected tropical diseases and malaria,Neglected tropical diseases and malaria,0.0003,0.0044,0.0041,0.0574
World,2,Neoplasms,Neoplasms,0.0001,0.0021,0.002,0.0371
World,2,Neurological disorders,Neurological disorders,0.0014,0.0251,0.0237,0.0551
World,2,Nutritional deficiencies,Nutritional deficiencies,0.0,0.0004,0.0004,0.0
World,2,Other infectious diseases,Other infectious diseases,0.0001,0.0004,0.0004,0.1937
World,2,Other non-communicable diseases,Other non-communicable diseases,0.0,0.007,0.007,0.0039
World,2,Respiratory infections and tuberculosis,Respiratory infections and tuberculosis,0.0003,0.0095,0.0092,0.0313
World,2,Sense organ diseases,Sense organ diseases,0.0,0.0131,0.0131,0.0
World,2,Skin and subcutaneous diseases,Skin and subcutaneous diseases,0.0008,0.0056,0.0048,0.1399
World,2,Substance use disorders,Substance use disorders,0.0025,0.0058,0.0033,0.4345
Africa,3,Cardiovascular diseases,Other cardiovascular and circulatory diseases,0.0,0.0019,0.0019,0.0
Africa,3,Cardiovascular diseases,Ischemic stroke,0.0007,0.0014,0.0008,0.4681
Africa,3,Cardiovascular diseases,Atrial fibrillation and flutter,0.0,0.0006,0.0006,0.0
Africa,3,Cardiovascular diseases,Intracerebral hemorrhage,0.0002,0.0004,0.0002,0.5221
Africa,3,Cardiovascular diseases,Hypertensive heart disease,0.0,0.0004,0.0004,0.0
Africa,3,Cardiovascular diseases,Other cardiomyopathy,0.0,0.0003,0.0003,0.0
Africa,3,Cardiovascular diseases,Subarachnoid hemorrhage,0.0001,0.0001,0.0001,0.4862
Africa,3,Cardiovascular diseases,Ischemic heart disease,0.0,0.0001,0.0001,0.0
Africa,3,Cardiovascular diseases,Rheumatic heart disease,0.0,0.0,0.0,0.0
Africa,3,Cardiovascular diseases,Endocarditis,0.0,0.0,0.0,0.0
Africa,3,Cardiovascular diseases,Alcoholic cardiomyopathy,0.0,0.0,0.0,0.0
Africa,3,Cardiovascular diseases,Pulmonary Arterial Hypertension,0.0,0.0,0.0,0.0
Africa,3,Cardiovascular diseases,Myocarditis,0.0,0.0,0.0,0.0
Africa,3,Cardiovascular diseases,Non-rheumatic degenerative mitral valve disease,0.0,0.0,0.0,0.0
Africa,3,Cardiovascular diseases,Non-rheumatic calcific aortic valve disease,0.0,0.0,0.0,0.0
Africa,3,Cardiovascular diseases,Other non-rheumatic valve diseases,0.0,0.0,0.0,0.0
Africa,3,Chronic respiratory diseases,Chronic obstructive pulmonary disease,0.0,0.0026,0.0026,0.0
Africa,3,Chronic respiratory diseases,Interstitial lung disease and pulmonary sarcoidosis,0.0,0.0,0.0,0.0
Africa,3,Chronic respiratory diseases,Silicosis,0.0,0.0,0.0,0.0671
Africa,3,Chronic respiratory diseases,Other pneumoconiosis,0.0,0.0,0.0,0.0554
Africa,3,Chronic respiratory diseases,Asbestosis,0.0,0.0,0.0,0.0915
Africa,3,Chronic respiratory diseases,Coal workers pneumoconiosis,0.0,0.0,0.0,0.0707
Africa,3,Diabetes and kidney diseases,Diabetes mellitus type 2,0.0,0.0004,0.0004,0.0
Africa,3,Diabetes and kidney diseases,Chronic kidney disease due to other and unspecified causes,0.0001,0.0003,0.0002,0.3712
Africa,3,Diabetes and kidney diseases,Chronic kidney disease due to diabetes mellitus type 2,0.0,0.0001,0.0001,0.2796
Africa,3,Diabetes and kidney diseases,Chronic kidney disease due to glomerulonephritis,0.0001,0.0001,0.0,0.7647
Africa,3,Diabetes and kidney diseases,Chronic kidney disease due to hypertension,0.0,0.0001,0.0,0.5407
Africa,3,Diabetes and kidney diseases,Chronic kidney disease due to diabetes mellitus type 1,0.0,0.0,0.0,0.5602
Africa,3,Diabetes and kidney diseases,Diabetes mellitus type 1,0.0,0.0,0.0,0.0
Africa,3,Digestive diseases,"Inguinal, femoral, and abdominal hernia",0.0,0.0003,0.0003,0.0
Africa,3,Digestive diseases,Cirrhosis and other chronic liver diseases due to other causes,0.0,0.0002,0.0002,0.0
Africa,3,Digestive diseases,Cirrhosis and other chronic liver diseases due to hepatitis B,0.0,0.0001,0.0001,0.0
Africa,3,Digestive diseases,Cirrhosis and other chronic liver diseases due to hepatitis C,0.0,0.0001,0.0001,0.0
Africa,3,Digestive diseases,Peptic ulcer disease,0.0,0.0,0.0,0.0
Africa,3,Digestive diseases,Ulcerative colitis,0.0,0.0,0.0,0.0
Africa,3,Digestive diseases,Pancreatitis,0.0,0.0,0.0,0.0
Africa,3,Digestive diseases,Crohn's disease,0.0,0.0,0.0,0.0
Africa,3,Digestive diseases,Gastritis and duodenitis,0.0,0.0,0.0,0.0
Africa,3,Digestive diseases,Cirrhosis and other chronic liver diseases due to alcohol use,0.0,0.0,0.0,0.0
Africa,3,Digestive diseases,Cirrhosis and other chronic liver diseases due to NAFLD,0.0,0.0,0.0,0.0
Africa,3,Digestive diseases,Vascular intestinal disorders,0.0,0.0,0.0,0.0
Africa,3,Enteric infections,Diarrheal diseases,0.0,0.0,0.0,0.0
Africa,3,HIV/AIDS and sexually transmitted infections,HIV/AIDS resulting in other diseases,0.0009,0.0025,0.0016,0.344
Africa,3,HIV/AIDS and sexually transmitted infections,HIV/AIDS - Drug-susceptible Tuberculosis,0.0,0.001,0.001,0.0
Africa,3,HIV/AIDS and sexually transmitted infections,Syphilis,0.0,0.0001,0.0001,0.0226
Africa,3,HIV/AIDS and sexually transmitted infections,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,0.0,0.0,0.0,0.0
Africa,3,HIV/AIDS and sexually transmitted infections,Other sexually transmitted infections,0.0,0.0,0.0,0.0
Africa,3,HIV/AIDS and sexually transmitted infections,Chlamydial infection,0.0,0.0,0.0,0.0
Africa,3,HIV/AIDS and sexually transmitted infections,Gonococcal infection,0.0,0.0,0.0,0.0
Africa,3,HIV/AIDS and sexually transmitted infections,HIV/AIDS - Extensively drug-resistant Tuberculosis,0.0,0.0,0.0,0.0
Africa,3,Injuries,injuries,0.0,0.0037,0.0037,0.0
Africa,3,Maternal and neonatal disorders,Neonatal preterm birth,0.0007,0.0024,0.0017,0.287
Africa,3,Maternal and neonatal disorders,Neonatal encephalopathy due to birth asphyxia and trauma,0.0005,0.0013,0.0009,0.3514
Africa,3,Maternal and neonatal disorders,Neonatal sepsis and other neonatal infections,0.0003,0.0009,0.0006,0.3569
Africa,3,Maternal and neonatal disorders,Maternal obstructed labor and uterine rupture,0.0,0.0007,0.0007,0.0
Africa,3,Maternal and neonatal disorders,Hemolytic disease and other neonatal jaundice,0.0001,0.0002,0.0001,0.3561
Africa,3,Mental disorders,Major depressive disorder,0.0039,0.011,0.0071,0.3556
Africa,3,Mental disorders,Anxiety disorders,0.0,0.0075,0.0075,0.0
Africa,3,Mental disorders,Conduct disorder,0.0,0.0042,0.0042,0.0
Africa,3,Mental disorders,Autism spectrum disorders,0.0,0.0028,0.0028,0.0
Africa,3,Mental disorders,Bipolar disorder,0.0,0.0022,0.0022,0.0
Africa,3,Mental disorders,Schizophrenia,0.0018,0.0018,0.0,1.0
Africa,3,Mental disorders,Bulimia nervosa,0.0,0.0011,0.0011,0.0
Africa,3,Mental disorders,Other mental disorders,0.0,0.0008,0.0008,0.0
Africa,3,Mental disorders,Anorexia nervosa,0.0,0.0004,0.0004,0.0
Africa,3,Mental disorders,Idiopathic developmental intellectual disability,0.0,0.0002,0.0002,0.0
Africa,3,Musculoskeletal disorders,Low back pain,0.0,0.0135,0.0135,0.0
Africa,3,Musculoskeletal disorders,Other musculoskeletal disorders,0.0018,0.0051,0.0033,0.3497
Africa,3,Musculoskeletal disorders,Neck pain,0.0,0.0042,0.0042,0.0
Africa,3,Musculoskeletal disorders,Osteoarthritis knee,0.0,0.0016,0.0016,0.0
Africa,3,Musculoskeletal disorders,Osteoarthritis hand,0.0,0.0005,0.0005,0.0
Africa,3,Musculoskeletal disorders,Osteoarthritis other,0.0,0.0003,0.0003,0.0
Africa,3,Musculoskeletal disorders,Gout,0.0,0.0002,0.0002,0.1291
Africa,3,Musculoskeletal disorders,Osteoarthritis hip,0.0,0.0002,0.0002,0.0
Africa,3,Musculoskeletal disorders,Rheumatoid arthritis,0.0,0.0001,0.0001,0.3842
Africa,3,Neglected tropical diseases and malaria,Onchocerciasis,0.0,0.0056,0.0056,0.0
Africa,3,Neglected tropical diseases and malaria,Malaria,0.0003,0.0007,0.0004,0.3782
Africa,3,Neglected tropical diseases and malaria,Cysticercosis,0.0,0.0006,0.0006,0.0
Africa,3,Neglected tropical diseases and malaria,Trachoma,0.0,0.0003,0.0003,0.0
Africa,3,Neglected tropical diseases and malaria,Dengue,0.0,0.0001,0.0001,0.0
Africa,3,Neglected tropical diseases and malaria,Schistosomiasis,0.0,0.0,0.0,0.0
Africa,3,Neglected tropical diseases and malaria,Cystic echinococcosis,0.0,0.0,0.0,0.0
Africa,3,Neglected tropical diseases and malaria,African trypanosomiasis,0.0,0.0,0.0,1.0
Africa,3,Neglected tropical diseases and malaria,Ebola,0.0,0.0,0.0,0.0
Africa,3,Neglected tropical diseases and malaria,Zika virus,0.0,0.0,0.0,
Africa,3,Neglected tropical diseases and malaria,Chagas disease,0.0,0.0,0.0,
Africa,3,Neglected tropical diseases and malaria,Food-borne trematodiases,0.0,0.0,0.0,
Africa,3,Neoplasms,Prostate cancer,0.0,0.0001,0.0001,0.0
Africa,3,Neoplasms,Cervical cancer,0.0,0.0001,0.0001,0.0939
Africa,3,Neoplasms,Breast cancer,0.0,0.0001,0.0001,0.0606
Africa,3,Neoplasms,Colon and rectum cancer,0.0,0.0,0.0,0.0
Africa,3,Neoplasms,Ovarian cancer,0.0,0.0,0.0,0.0694
Africa,3,Neoplasms,"Tracheal, bronchus, and lung cancer",0.0,0.0,0.0,0.0
Africa,3,Neoplasms,Esophageal cancer,0.0,0.0,0.0,0.1386
Africa,3,Neoplasms,Stomach cancer,0.0,0.0,0.0,0.0
Africa,3,Neoplasms,Other non-Hodgkin lymphoma,0.0,0.0,0.0,0.1032
Africa,3,Neoplasms,Bladder cancer,0.0,0.0,0.0,0.0574
Africa,3,Neoplasms,Malignant neoplasm of bone and articular cartilage,0.0,0.0,0.0,0.0284
Africa,3,Neoplasms,Uterine cancer,0.0,0.0,0.0,0.0581
Africa,3,Neoplasms,Soft tissue and other extraosseous sarcomas,0.0,0.0,0.0,0.0503
Africa,3,Neoplasms,Other malignant neoplasms,0.0,0.0,0.0,0.1466
Africa,3,Neoplasms,Lip and oral cavity cancer,0.0,0.0,0.0,0.113
Africa,3,Neoplasms,Liver cancer due to hepatitis B,0.0,0.0,0.0,0.1564
Africa,3,Neoplasms,Pancreatic cancer,0.0,0.0,0.0,0.1614
Africa,3,Neoplasms,Larynx cancer,0.0,0.0,0.0,0.0828
Africa,3,Neoplasms,Brain and central nervous system cancer,0.0,0.0,0.0,0.125
Africa,3,Neoplasms,Kidney cancer,0.0,0.0,0.0,0.0953
Africa,3,Neoplasms,Other eye cancers,0.0,0.0,0.0,0.0395
Africa,3,Neoplasms,Hodgkin lymphoma,0.0,0.0,0.0,0.1101
Africa,3,Neoplasms,Acute lymphoid leukemia,0.0,0.0,0.0,0.1198
Africa,3,Neoplasms,Multiple myeloma,0.0,0.0,0.0,0.086
Africa,3,Neoplasms,Liver cancer due to hepatitis C,0.0,0.0,0.0,0.1594
Africa,3,Neoplasms,Nasopharynx cancer,0.0,0.0,0.0,0.0976
Africa,3,Neoplasms,Thyroid cancer,0.0,0.0,0.0,0.0517
Africa,3,Neoplasms,Liver cancer due to alcohol use,0.0,0.0,0.0,0.1584
Africa,3,Neoplasms,Chronic lymphoid leukemia,0.0,0.0,0.0,0.0685
Africa,3,Neoplasms,Malignant skin melanoma,0.0,0.0,0.0,0.1398
Africa,3,Neoplasms,Acute myeloid leukemia,0.0,0.0,0.0,0.1352
Africa,3,Neoplasms,Other leukemia,0.0,0.0,0.0,0.0448
Africa,3,Neoplasms,Retinoblastoma,0.0,0.0,0.0,0.009
Africa,3,Neoplasms,Liver cancer due to NASH,0.0,0.0,0.0,0.1585
Africa,3,Neoplasms,Burkitt lymphoma,0.0,0.0,0.0,0.0375
Africa,3,Neoplasms,Gallbladder and biliary tract cancer,0.0,0.0,0.0,0.1566
Africa,3,Neoplasms,Other pharynx cancer,0.0,0.0,0.0,0.1597
Africa,3,Neoplasms,Neuroblastoma and other peripheral nervous cell tumors,0.0,0.0,0.0,0.0156
Africa,3,Neoplasms,Testicular cancer,0.0,0.0,0.0,0.1202
Africa,3,Neoplasms,Liver cancer due to other causes,0.0,0.0,0.0,0.1568
Africa,3,Neoplasms,Hepatoblastoma,0.0,0.0,0.0,0.0229
Africa,3,Neoplasms,Mesothelioma,0.0,0.0,0.0,0.1094
Africa,3,Neoplasms,Chronic myeloid leukemia,0.0,0.0,0.0,0.155
Africa,3,Neoplasms,Non-melanoma skin cancer (squamous-cell carcinoma),0.0,0.0,0.0,0.0
Africa,3,Neurological disorders,Migraine,0.0,0.0119,0.0119,0.0
Africa,3,Neurological disorders,Idiopathic epilepsy,0.002,0.0034,0.0014,0.5759
Africa,3,Neurological disorders,Tension-type headache,0.0,0.0012,0.0012,0.0
Africa,3,Neurological disorders,Alzheimer's disease and other dementias,0.0,0.0009,0.0009,0.0
Africa,3,Neurological disorders,Parkinson's disease,0.0,0.0001,0.0001,0.0
Africa,3,Neurological disorders,Multiple sclerosis,0.0,0.0,0.0,0.1524
Africa,3,Neurological disorders,Other neurological disorders,0.0,0.0,0.0,0.0
Africa,3,Neurological disorders,Motor neuron disease,0.0,0.0,0.0,0.1574
Africa,3,Nutritional deficiencies,Vitamin A deficiency,0.0,0.0003,0.0003,0.0
Africa,3,Nutritional deficiencies,Iodine deficiency,0.0,0.0001,0.0001,0.0
Africa,3,Nutritional deficiencies,Protein-energy malnutrition,0.0,0.0,0.0,0.0
Africa,3,Other infectious diseases,Meningitis,0.0,0.0004,0.0004,0.0
Africa,3,Other infectious diseases,Encephalitis,0.0,0.0001,0.0001,0.0001
Africa,3,Other infectious diseases,Other unspecified infectious diseases,0.0,0.0,0.0,0.0
Africa,3,Other infectious diseases,Tetanus,0.0,0.0,0.0,0.3545
Africa,3,Other non-communicable diseases,Other gynecological diseases,0.0,0.0065,0.0065,0.0
Africa,3,Other non-communicable diseases,Congenital musculoskeletal and limb anomalies,0.0,0.0016,0.0016,0.0
Africa,3,Other non-communicable diseases,Other congenital birth defects,0.0,0.0008,0.0008,0.0
Africa,3,Other non-communicable diseases,Sickle cell disorders,0.0,0.0008,0.0008,0.0208
Africa,3,Other non-communicable diseases,Endometriosis,0.0,0.0005,0.0005,0.0
Africa,3,Other non-communicable diseases,Neural tube defects,0.0,0.0003,0.0003,0.0718
Africa,3,Other non-communicable diseases,Other chromosomal abnormalities,0.0,0.0002,0.0002,0.0474
Africa,3,Other non-communicable diseases,Congenital heart anomalies,0.0,0.0002,0.0002,0.0
Africa,3,Other non-communicable diseases,Urogenital congenital anomalies,0.0,0.0001,0.0001,0.0
Africa,3,Other non-communicable diseases,Down syndrome,0.0,0.0001,0.0001,0.0001
Africa,3,Other non-communicable diseases,Uterine fibroids,0.0,0.0,0.0,0.0
Africa,3,Other non-communicable diseases,Other hemoglobinopathies and hemolytic anemias,0.0,0.0,0.0,0.0
